stringId_A,stringId_B,Name_A,Name_B,combined_score,experimental_score,textmining_score,database_score,corr_score
ENSP00000484669,ENSP00000305790,CPSF1,SF3B3,0.939,0.0,0.13098,0.9,0.9174937010503235
ENSP00000317123,ENSP00000305790,SNRNP200,SF3B3,0.999,0.965,0.65,0.9,0.9041412437607683
ENSP00000419027,ENSP00000365462,PCCB,PCCA,0.999,0.714,0.94,0.9,0.9636025684170739
ENSP00000357005,ENSP00000281537,F11R,TJP1,0.984,0.379,0.88,0.8,0.9070707007462412
ENSP00000352400,ENSP00000283195,NUP214,RANBP2,0.991,0.31,0.87,0.9,0.9160306174735141
ENSP00000351310,ENSP00000300527,COL6A6,COL6A2,0.938,0.0,0.2704,0.9,0.9083560580113237
ENSP00000300527,ENSP00000295550,COL6A2,COL6A3,0.989,0.0,0.32104,0.9,0.9727712925809515
ENSP00000355180,ENSP00000300527,COL6A1,COL6A2,0.996,0.0,0.16202,0.9,0.976888060338487
ENSP00000377958,ENSP00000286788,CCT4,CCT8,0.999,0.957,0.20428,0.9,0.9394061717861102
ENSP00000377958,ENSP00000295688,CCT4,CCT3,0.999,0.966,0.1411,0.9,0.9229955312514075
ENSP00000391211,ENSP00000261712,PSMC2,PSMD11,0.999,0.992,0.72,0.9,0.9118660385657429
ENSP00000391211,ENSP00000310572,PSMC2,PSMC5,0.999,0.992,0.0669,0.9,0.9325707296937947
ENSP00000395590,ENSP00000243346,IFI35,NMI,0.985,0.68,0.17461,0.0,0.9239923038266135
ENSP00000354040,ENSP00000234170,GTPBP4,CEBPZ,0.991,0.875,0.54,0.0,0.9078711007581978
ENSP00000263239,ENSP00000234170,DDX18,CEBPZ,0.937,0.379,0.35,0.0,0.9032029843657667
ENSP00000418221,ENSP00000234170,RPL7L1,CEBPZ,0.437,0.29,0.11,0.0,0.9100244843179739
ENSP00000350698,ENSP00000234170,DDX47,CEBPZ,0.639,0.171,0.06,0.0,0.906975605662822
ENSP00000358812,ENSP00000234170,PDCD11,CEBPZ,0.99,0.692,0.71,0.0,0.9407711260729477
ENSP00000460871,ENSP00000234170,RSL1D1,CEBPZ,0.857,0.368,0.32,0.0,0.9406465022870074
ENSP00000346725,ENSP00000234170,PES1,CEBPZ,0.994,0.913,0.50,0.0,0.9149096708365346
ENSP00000371858,ENSP00000234170,NOP2,CEBPZ,0.99,0.908,0.20,0.0,0.9139447621330711
ENSP00000317992,ENSP00000234170,NOC2L,CEBPZ,0.998,0.965,0.52,0.0,0.9394490615387587
ENSP00000363642,ENSP00000234170,BMS1,CEBPZ,0.927,0.085,0.23,0.0,0.9144935237655647
ENSP00000355541,ENSP00000234170,HEATR1,CEBPZ,0.928,0.284,0.32,0.0,0.9236263345272314
ENSP00000379506,ENSP00000311430,RPL14,RPL4,0.999,0.992,0.67,0.9,0.9232692386043903
ENSP00000379506,ENSP00000375730,RPL14,RPL13A,0.999,0.991,0.50,0.9,0.9110325402447079
ENSP00000379506,ENSP00000361076,RPL14,RPL7A,0.999,0.991,0.49,0.9,0.916017867037048
ENSP00000379506,ENSP00000359345,RPL14,RPL5,0.999,0.986,0.78,0.9,0.9182473697922965
ENSP00000342481,ENSP00000319918,ATP9A,ITFG1,0.636,0.0,,0.0,0.9000194659952008
ENSP00000378130,ENSP00000295897,CFI,ALB,0.561,0.0,0.48,0.0,0.9015238715586451
ENSP00000393887,ENSP00000295897,AHSG,ALB,0.998,0.043,0.67,0.9,0.9170481904442691
ENSP00000329374,ENSP00000295897,SERPINA7,ALB,0.878,0.0,0.67,0.0,0.9271996175329552
ENSP00000360522,ENSP00000295897,RBP4,ALB,0.781,0.379,0.47,0.0,0.9285342339504817
ENSP00000342850,ENSP00000295897,SERPINA6,ALB,0.785,0.0,0.66,0.0,0.9355346109201574
ENSP00000421725,ENSP00000295897,GC,ALB,0.57,0.0,0.24897,0.0,0.9148488612543084
ENSP00000295897,ENSP00000265023,ALB,KNG1,0.971,0.0,0.6,0.9,0.9285386450337109
ENSP00000385834,ENSP00000295897,TF,ALB,0.983,0.104,0.66,0.9,0.9707339245591828
ENSP00000295897,ENSP00000265983,ALB,HPX,0.976,0.043,0.67,0.9,0.9737679442103042
ENSP00000316029,ENSP00000211998,TLN1,VCL,0.999,0.974,0.85,0.9,0.9081338221863945
ENSP00000255882,ENSP00000254624,PI4KA,EFR3A,0.733,0.262,0.63,0.0,0.9263489016455606
ENSP00000260102,ENSP00000253099,MRPL15,MRPL4,0.999,0.995,0.20,0.9,0.9061751625666555
ENSP00000418194,ENSP00000353512,PARP14,PARP9,0.963,0.328,0.32677,0.0,0.902149567077637
ENSP00000252486,ENSP00000226218,APOE,VTN,0.501,0.0,0.47,0.0,0.9060411907568049
ENSP00000315130,ENSP00000226218,CLU,VTN,0.661,0.0,0.65,0.0,0.9056467284437785
ENSP00000262865,ENSP00000233997,BPI,AZU1,0.982,0.0,0.75,0.9,0.91244439208549
ENSP00000262865,ENSP00000231751,BPI,LTF,0.939,0.0,0.31,0.9,0.9070752066653598
ENSP00000262551,ENSP00000052754,OGN,DCN,0.477,0.0,0.26569,0.0,0.915071741193851
ENSP00000370589,ENSP00000264279,NOP56,NOP58,0.999,0.973,0.12369,0.9,0.9438638616987924
ENSP00000354040,ENSP00000263239,GTPBP4,DDX18,0.992,0.903,0.22,0.0,0.9046531922094789
ENSP00000263239,ENSP00000234170,DDX18,CEBPZ,0.937,0.379,0.35,0.0,0.9032029843657667
ENSP00000358812,ENSP00000263239,PDCD11,DDX18,0.94,0.3,0.22,0.0,0.9021507324444299
ENSP00000297579,ENSP00000263239,DCAF13,DDX18,0.982,0.829,0.35,0.0,0.9025329257497055
ENSP00000346725,ENSP00000263239,PES1,DDX18,0.984,0.789,0.20,0.0,0.9002145878301681
ENSP00000483688,ENSP00000223321,PSMB3,PSMA2,0.999,0.993,0.7,0.9,0.9140490909553688
ENSP00000483688,ENSP00000262193,PSMB3,PSMB1,0.999,0.993,0.18779,0.9,0.9389597525976525
ENSP00000483688,ENSP00000362334,PSMB3,PSMB2,0.999,0.993,0.95,0.9,0.9117354502617474
ENSP00000483688,ENSP00000216455,PSMB3,PSMA3,0.999,0.993,0.71,0.9,0.9303971827840676
ENSP00000483688,ENSP00000261479,PSMB3,PSMA6,0.999,0.994,0.67,0.9,0.9109376743666442
ENSP00000483688,ENSP00000359910,PSMB3,PSMA7,0.999,0.991,0.66,0.9,0.9462571084978401
ENSP00000483688,ENSP00000044462,PSMB3,PSMA4,0.999,0.993,0.72,0.9,0.9392121108399569
ENSP00000366416,ENSP00000248564,EDNRB,GNG11,0.918,0.165,0.07,0.9,0.9063167226734276
ENSP00000276390,ENSP00000273398,ATP6V1B2,ATP6V1A,0.999,0.936,0.37190,0.9,0.9242560384080631
ENSP00000276390,ENSP00000253413,ATP6V1B2,ATP6V1E1,0.999,0.962,0.81,0.9,0.9047738048155181
ENSP00000383382,ENSP00000262407,GP1BB,ITGA2B,0.659,0.055,0.60,0.0,0.9630660017855032
ENSP00000383382,ENSP00000329380,GP1BB,GP1BA,0.991,0.379,0.8,0.9,0.9129990843747833
ENSP00000364709,ENSP00000308938,F10,PLG,0.562,0.379,0.19904,0.0,0.9408013318528197
ENSP00000364709,ENSP00000308541,F10,F2,0.938,0.0,0.19102,0.9,0.9473181312463128
ENSP00000389631,ENSP00000228825,ARPC1B,ARPC3,0.999,0.998,0.94,0.9,0.9126929804584863
ENSP00000263238,ENSP00000228825,ACTR3,ARPC3,0.999,0.997,0.88,0.9,0.9229554470552499
ENSP00000295685,ENSP00000228825,ARPC2,ARPC3,0.999,0.986,0.92,0.9,0.9028218764710623
ENSP00000371101,ENSP00000350698,NOL10,DDX47,0.888,0.302,0.06,0.0,0.9298993408293795
ENSP00000371101,ENSP00000314348,NOL10,DDX10,0.964,0.269,0.56,0.0,0.9252798416706487
ENSP00000367721,ENSP00000261396,NUP160,NUP133,0.999,0.869,0.94,0.9,0.9048913268727797
ENSP00000310668,ENSP00000261396,NUP93,NUP133,0.991,0.084,0.87,0.9,0.9077316090052696
ENSP00000418401,ENSP00000244763,SRPRB,SSR1,0.964,0.0,0.59,0.9,0.9081380704726615
ENSP00000457421,ENSP00000204961,PECAM1,EFNB1,0.534,0.0,0.53,0.0,0.9085251112433541
ENSP00000399457,ENSP00000296255,DDOST,RPN1,0.999,0.861,0.96,0.9,0.9247676079914479
ENSP00000363018,ENSP00000339795,RPL10A,RPL7,0.999,0.992,0.58,0.9,0.9054025047813218
ENSP00000438886,ENSP00000358283,CDK5RAP3,UFL1,0.991,0.867,0.93,0.0,0.9172247861458007
ENSP00000342681,ENSP00000337825,CD5,LCK,0.869,0.38,0.73,0.0,0.9121370946109765
ENSP00000358812,ENSP00000308179,PDCD11,WDR3,0.998,0.737,0.61,0.9,0.9036488015701732
ENSP00000308179,ENSP00000253247,WDR3,NOL11,0.95,0.0,0.38,0.9,0.9104125514076684
ENSP00000308179,ENSP00000291576,WDR3,PWP2,0.999,0.976,0.37300,0.9,0.9395562020815318
ENSP00000314193,ENSP00000308179,WDR75,WDR3,0.998,0.784,0.29861,0.9,0.9014175310515701
ENSP00000423067,ENSP00000308179,WDR36,WDR3,0.999,0.959,0.37839,0.9,0.9357363389001911
ENSP00000301653,ENSP00000167586,KRT16,KRT14,0.967,0.0,0.01441,0.9,0.9163899794250031
ENSP00000270225,ENSP00000246548,SAE1,UBA2,0.999,0.996,0.4128,0.9,0.9612798185744682
ENSP00000356946,ENSP00000289902,FCGR3A,FCER1G,0.97,0.379,0.66,0.8,0.9100440976946638
ENSP00000377783,ENSP00000243611,PROS1,C4BPB,0.962,0.379,0.4,0.9,0.9464178286350367
ENSP00000455106,ENSP00000354040,BOP1,GTPBP4,0.986,0.74,0.51,0.0,0.9067847480363873
ENSP00000483495,ENSP00000455106,DDX27,BOP1,0.97,0.482,0.49,0.0,0.9061165922001796
ENSP00000455106,ENSP00000360412,BOP1,NOC3L,0.975,0.723,0.22,0.0,0.915844767902394
ENSP00000455106,ENSP00000346725,BOP1,PES1,0.999,0.904,0.84,0.9,0.9282345962471611
ENSP00000455106,ENSP00000317992,BOP1,NOC2L,0.992,0.63,0.59,0.54,0.9053296465532218
ENSP00000285968,ENSP00000231498,NUP205,NUP155,0.999,0.808,0.89,0.9,0.9141994090132485
ENSP00000361658,ENSP00000231498,NUP188,NUP155,0.998,0.8,0.80,0.9,0.9308707050823275
ENSP00000483688,ENSP00000223321,PSMB3,PSMA2,0.999,0.993,0.7,0.9,0.9140490909553688
ENSP00000414359,ENSP00000223321,PSMA1,PSMA2,0.999,0.994,0.1635,0.9,0.933220994870509
ENSP00000262193,ENSP00000223321,PSMB1,PSMA2,0.999,0.994,0.91,0.9,0.9203950119812367
ENSP00000271308,ENSP00000223321,PSMA5,PSMA2,0.999,0.994,0.15098,0.9,0.9333415317790008
ENSP00000223321,ENSP00000216455,PSMA2,PSMA3,0.999,0.994,0.184,0.9,0.919506147643257
ENSP00000261479,ENSP00000223321,PSMA6,PSMA2,0.999,0.992,0.13140,0.9,0.9255468790760869
ENSP00000290541,ENSP00000223321,PSMB4,PSMA2,0.999,0.994,0.71,0.9,0.9063521180861639
ENSP00000359910,ENSP00000223321,PSMA7,PSMA2,0.999,0.992,0.08044,0.9,0.9478761375525504
ENSP00000223321,ENSP00000044462,PSMA2,PSMA4,0.999,0.994,0.13092,0.9,0.939976877860398
ENSP00000310129,ENSP00000309474,PSMD2,PSMD1,0.999,0.993,0.3949,0.9,0.9433533569713978
ENSP00000310129,ENSP00000261712,PSMD2,PSMD11,0.999,0.994,0.83,0.9,0.9191054391405659
ENSP00000396937,ENSP00000310129,PSMD13,PSMD2,0.999,0.97,0.74,0.9,0.9282871100384176
ENSP00000418695,ENSP00000310129,PSMD6,PSMD2,0.999,0.973,0.79,0.9,0.9139608061430154
ENSP00000418221,ENSP00000354040,RPL7L1,GTPBP4,0.627,0.412,0.17,0.0,0.9243332806023363
ENSP00000418221,ENSP00000234170,RPL7L1,CEBPZ,0.437,0.29,0.11,0.0,0.9100244843179739
ENSP00000483495,ENSP00000418221,DDX27,RPL7L1,0.473,0.186,0.05,0.0,0.9208644043140479
ENSP00000418221,ENSP00000338862,RPL7L1,BRIX1,0.696,0.353,0.13,0.0,0.9032909266238662
ENSP00000480832,ENSP00000418221,NOP16,RPL7L1,0.919,0.0,,0.0,0.9081800005853011
ENSP00000418221,ENSP00000346725,RPL7L1,PES1,0.771,0.505,0.1,0.0,0.9120325065863406
ENSP00000418221,ENSP00000317992,RPL7L1,NOC2L,0.57,0.26,0.11,0.0,0.9086917833047135
ENSP00000451752,ENSP00000427866,SPTB,DMTN,0.626,0.379,0.36,0.0,0.9789224740082516
ENSP00000451752,ENSP00000265709,SPTB,ANK1,0.996,0.899,0.66,0.9,0.9964843479068951
ENSP00000451752,ENSP00000357129,SPTB,SPTA1,0.992,0.886,0.31481,0.9,0.9959017727823778
ENSP00000451752,ENSP00000360217,SPTB,RHAG,0.464,0.0,0.45,0.0,0.9396092773038802
ENSP00000451752,ENSP00000262418,SPTB,SLC4A1,0.734,0.084,0.71,0.0,0.9941803858633569
